05-1-01-26,
06-1-04-08,
06-2-32-46,
05-2-09-37,
05-3-16-36,
05-3-16-34,
05-3-16-35,
08-3-36-10,
08-3-36-09,
08-3-36-06,
08-3-52-05,
03-1-07-160,
03-1-07-195,
03-1-07-172,
03-1-07-171,
03-1-07-168,
03-1-07-187,
03-1-07-155,
03-1-07-179,
03-1-10-48,
03-1-10-51,
03-1-10-58,
03-1-10-63,
03-1-10-67,
01-1-04-46,
01-1-04-51,
01-1-04-53,
03-1-30-307,
03-2-13-39,
03-3-25-49,
03-3-25-31,
03-3-25-33,
03-3-25-73,
03-1-04-114,
03-1-06-37,
03-1-06-43,
03-1-04-97,
03-1-04-105,
03-1-06-45,
01-3-11-60,
01-3-11-63,
03-1-28-22,
02-3-26-16,
03-1-02-41,
03-1-07-173,
03-1-07-158,
03-1-07-202,
03-1-07-156,
03-1-07-188,
03-1-07-174,
03-1-07-157,
03-1-07-169,
03-2-12-101,
03-2-14-63,
03-1-07-203,
03-1-07-204,
03-1-07-206,
03-1-07-207,
01-3-15-28,
01-3-15-32,
01-3-15-35,
03-1-02-37,
03-1-02-38,
03-1-02-40,
02-3-19-75,
01-3-14-96,
03-1-08-505,
03-1-08-509,
03-1-08-239,
03-1-08-242,
03-1-08-246,
03-1-08-248,
04-1-02-20,
04-1-02-21,
04-1-03-27,
04-1-07-11,
04-4-25-37,
04-3-24-163,
04-3-24-160,
04-3-37-48,
04-2-82-19,
04-2-82-20,
04-2-36-32,
04-3-24-164,
04-4-33-75,
04-3-24-101,
04-3-24-513,
04-3-24-89,
04-4-51-08,
04-2-54-02,
04-3-16-02,
02-1-08-28,
02-1-08-29,
02-1-29-08,
02-1-29-01,
02-1-28-505,
03-3-27-38,
03-3-27-39,
03-3-27-80,
08-1-05-05,
08-1-08-05,
08-1-223-01,
08-1-01-32,
09-3-198-01,
09-3-198-02,
09-3-123-02,
09-3-19-46,
09-3-215-04,
09-3-215-03,
09-3-32-06,
09-3-32-08,
09-3-32-04,
09-3-172-03,
09-1-02-54,
09-1-111-02,
09-1-02-09,
09-1-184-05,
09-1-184-01,
09-1-35-05,
09-1-44-02,
09-1-177-02,
09-4-110-03,
09-1-188-01,
09-1-05-24,
06-3-38-26,
09-2-220-02,
09-2-08-63,
09-2-141-01,
08-2-20-50,
08-2-28-16,
08-2-160-02,
08-2-185-03,
08-2-21-08,
08-2-21-09,
08-2-22-14,
08-2-22-15,
07-1-12-112,
07-1-12-134,
07-1-12-89,
07-1-03-22,
07-1-12-93,
07-1-12-85,
07-1-12-90,
07-1-12-87,
07-1-12-97,
07-1-12-88,
07-1-12-102,
07-1-03-37,
07-2-06-503,
07-2-09-27,
07-2-344-05,
07-2-15-02,
07-2-281-03,
07-2-15-11,
07-1-249-02,
07-2-03-506,
07-3-19-45,
07-3-19-40,
07-4-57-05,
07-3-25-503,
07-3-25-501,
07-3-25-06,
07-3-47-02,
07-4-381-05,
07-4-381-08,
07-4-381-06,
07-5-35-42,
07-5-117-103,
07-5-38-17,
07-5-114-501,
07-5-390-02,
07-5-390-01,
14-1-02-13,
13-1-05-101,
13-1-05-103,
13-1-05-96,
13-1-05-95,
13-1-05-89,
13-3-13-15,
10-2-12-62,
10-2-12-55,
10-2-12-56,
10-2-12-58,
10-2-12-59,
10-2-91-08,
10-2-91-06,
10-3-76-03,
10-1-221-02,
10-1-221-01,
10-1-02-22,
10-1-05-18,
10-1-05-19,
10-1-05-20,
10-1-05-21,
10-1-05-22,
10-1-50-02,
10-1-09-27,
10-1-08-64,
10-1-08-41,
10-1-08-59,
11-3-21-36,
11-3-21-34,
11-3-21-35,
11-3-21-32,
11-3-21-33,
11-3-21-31,
11-1-70-23,
11-1-70-17,
11-1-171-02,
11-1-05-04,
12-1-04-134
